Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Fertilizer Usage (kg/ha)
26.0,52.0,38.0,Sandy,Maize,37,0,0,Urea,69.05543474147596
29.0,52.0,45.0,Loamy,Sugarcane,12,0,36,DAP,89.97920580574342
34.0,65.0,62.0,Black,Cotton,7,9,30,Gromor(14:35:14),96.66544617883112
32.0,62.0,34.0,Red,Tobacco,22,0,20,Gromor(28:28),75.91400502733643
28.0,54.0,46.0,Clayey,Paddy,35,0,0,Urea,126.81509512845993
26.0,52.0,35.0,Sandy,Barley,12,10,13,N-P-K(17:17:17),57.39658476334319
25.0,50.0,64.0,Red,Cotton,9,0,10,Gromor(20:20:0:13),92.60441641886979
33.0,64.0,50.0,Loamy,Wheat,41,0,0,Urea,97.91120927489513
30.0,60.0,42.0,Sandy,Millets,21,0,18,Gromor(28:28),61.87321536147707
29.0,58.0,33.0,Black,Oil seeds,9,7,30,Gromor(14:35:14),66.13251320923186
27.0,54.0,28.0,Clayey,Pulses,13,0,40,DAP,61.570105885748596
31.0,62.0,48.0,Sandy,Maize,14,15,12,N-P-K(17:17:17),63.227691994578564
25.0,50.0,65.0,Loamy,Cotton,36,0,0,Urea,96.25125419478647
32.0,62.0,41.0,Clayey,Paddy,24,0,22,Gromor(28:28),104.88405552751063
26.0,52.0,31.0,Red,Ground Nuts,14,0,41,DAP,62.032001007255545
31.0,62.0,49.0,Black,Sugarcane,10,13,14,N-P-K(17:17:17),82.89954956726342
33.0,64.0,34.0,Clayey,Pulses,38,0,0,Urea,77.67920972775924
25.0,50.0,39.0,Sandy,Barley,21,0,19,Gromor(28:28),55.318441688175135
28.0,54.0,65.0,Black,Cotton,39,0,0,Urea,87.39745615241536
29.0,58.0,52.0,Loamy,Wheat,13,0,36,DAP,89.80113666768399
30.0,60.0,44.0,Sandy,Millets,10,0,9,Gromor(20:20:0:13),70.74779640193181
34.0,65.0,53.0,Loamy,Sugarcane,12,14,12,N-P-K(17:17:17),94.38813203719148
35.0,68.0,33.0,Red,Tobacco,11,0,37,DAP,75.36437699643686
28.0,54.0,37.0,Black,Millets,36,0,0,Urea,68.07369019410176
33.0,64.0,39.0,Clayey,Paddy,13,0,10,Gromor(20:20:0:13),95.78816501170088
26.0,52.0,44.0,Sandy,Maize,23,0,20,Gromor(28:28),56.701647266747386
30.0,60.0,63.0,Red,Cotton,9,9,29,Gromor(14:35:14),83.72085644655084
32.0,62.0,30.0,Loamy,Sugarcane,38,0,0,Urea,92.74989255095953
37.0,70.0,32.0,Black,Oil seeds,12,0,39,DAP,70.65162559093243
26.0,52.0,36.0,Clayey,Pulses,14,0,13,Gromor(20:20:0:13),66.18289830848073
29.0,58.0,40.0,Red,Ground Nuts,24,0,23,Gromor(28:28),66.88469895998188
30.0,60.0,27.0,Loamy,Sugarcane,12,0,40,DAP,73.50188333580229
34.0,65.0,38.0,Clayey,Paddy,39,0,0,Urea,111.50543306521297
36.0,68.0,38.0,Sandy,Barley,7,9,30,Gromor(14:35:14),62.38826952110769
26.0,52.0,48.0,Loamy,Wheat,23,0,19,Gromor(28:28),86.76116067040925
28.0,54.0,35.0,Black,Millets,41,0,0,Urea,72.06273808434688
30.0,60.0,61.0,Loamy,Cotton,8,10,31,Gromor(14:35:14),81.33424711504901
37.0,70.0,37.0,Clayey,Paddy,12,0,41,DAP,107.24605530519713
25.0,50.0,26.0,Red,Ground Nuts,15,14,11,N-P-K(17:17:17),53.29527640847153
29.0,58.0,34.0,Sandy,Millets,15,0,37,DAP,54.052291181196075
27.0,54.0,30.0,Clayey,Pulses,13,0,13,Gromor(20:20:0:13),61.496711717595836
30.0,60.0,58.0,Loamy,Sugarcane,10,7,32,Gromor(14:35:14),101.5333209521259
32.0,62.0,34.0,Red,Tobacco,22,0,24,Gromor(28:28),75.04206679419603
34.0,65.0,60.0,Black,Sugarcane,35,0,0,Urea,122.39914180175614
35.0,67.0,42.0,Sandy,Barley,10,0,35,DAP,67.11578776414802
38.0,70.0,48.0,Loamy,Wheat,8,8,28,Gromor(14:35:14),75.4353082632825
26.0,52.0,32.0,Black,Oil seeds,12,0,8,Gromor(20:20:0:13),70.60083819055323
29.0,58.0,43.0,Clayey,Paddy,24,0,18,Gromor(28:28),97.90892921241782
